date,qc00000132,qc00000135,qc00000207,qc00000208,qc00000211,qc00000219,qc00000230,qc00000231,qc00000235,qc00000237,qc00000238,qc00000240,qc00000241,qc00000247,qc00000248,qc00000250,qc00000255,qc00000278,qc00000281,qc00000301,qc00000304
1/01/1980,0,0,0,0,0,5,0,0,0,1.2,0,8.6,0,0,0.4,0,0,74.3,42,0,0
2/01/1980,0,0,0,0,5.6,0,0,0,0,0.8,0,4,0,0,0,0,0,0,27.2,0,0
3/01/1980,0,0,0,0,0.8,0.3,0,0,0,0.1,0,8.5,2.4,0,0,0,0,1.3,0,0,0.3
4/01/1980,0.8,0.2,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0,0.4
5/01/1980,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,2,0,0,7.3,0,0
6/01/1980,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.3,0,0.3
7/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0.3
8/01/1980,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0.4,0,0,0
9/01/1980,0,0,0,0,0,2,0,0,0,0,0,0,0.01,0,0.2,2,0,0,4.4,0,9.8
10/01/1980,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0.3,0,0,0,1.9,0,0
11/01/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
12/01/1980,0,0,0,0,0,10,0,0,0,0.2,0,0,0,0,2.9,0,0,0,0,0,0
13/01/1980,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/01/1980,0,0,0,0,0,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
15/01/1980,0,0,0,0,0,3,0,0,0,1.5,1.9,0,0,0,0.2,0,0.1,0,7.2,0,0
16/01/1980,0,0,0,0,0,5,0,0,0,12.5,0,0,0,0,0,0,0,2.1,3.8,0,4.7
17/01/1980,0,0,0,0,4.2,4,0,0,0,0,0,0,0,0,1.1,0,0,79.2,0.3,0,0
18/01/1980,0.6,0,0,0,0,18,0,0,0,1,0,0,0,0,5.4,0,0,0,0,0,4.1
19/01/1980,0,0,0,0,27.9,29,0,0,0,0.5,0,0,0,0,3,0,0,0,1.3,0,0
20/01/1980,0,0,0.2,0,0,25,0,0,0,0.5,0.01,0,6.1,0,3.4,0,0.2,0,0.2,0.3,2.6
21/01/1980,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.6,0,0,0,0,0,8.2
22/01/1980,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/01/1980,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,1.8,37.4,0,0.1
24/01/1980,0,0,0,0,33.2,10.5,0,0,0,0,0.01,0,0,0,0,5,0,25.6,0.9,0,0
25/01/1980,0.5,0,0,0,62.7,40,0,0,0,4.3,0,4.5,0,0,0.5,14.3,0,33.2,28.6,0,0
26/01/1980,0,0,0,0,6.8,2,0,0,0,0,0,6,0,0,0,0,0,9.2,29.1,0,0
27/01/1980,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
28/01/1980,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.6,11.4,0,9.9,1.6,0,0
29/01/1980,5,0,0,0,1.2,0,0,0,0,8.2,1.9,29,0,0,4,14.3,0,0,0,0,0.5
30/01/1980,0,0.7,0,0,0,2,0,0,0,31.4,23.5,7.5,0,0,14.9,4.7,0,0,0.4,0.01,0
31/01/1980,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0.6,0,0,0,0,0,0
1/02/1980,4.6,0.6,0,0,0.01,0,0,0,0,8,0.1,0,0,0,9.3,3,0.4,2.3,NA,0,0
2/02/1980,0,10,0,0,0,13,0,0,0,3,0,2,0.01,0,4.2,0,0,16.8,NA,0,2.5
3/02/1980,0,1.1,2,0.5,0.4,1,0,0,0.5,13.4,0.5,16.8,1.5,1.6,15.4,51.7,0.8,0,NA,0.1,4.8
4/02/1980,0,0,0.4,0,0,0,0.01,0,16.9,10,6,0,0,0.3,31.3,0,11.4,0,NA,0,4.4
5/02/1980,0,0,0,0,0,31,0,0,1,6.1,0.1,0,0,0,9.4,0,0,9.4,NA,0,0
6/02/1980,0,0,0,0,0,25,0,0,0.1,0.5,0,0,0,0,0.4,0,0,0,NA,0,0
7/02/1980,0,0,0,0,0,3,0,0,0,0.9,0,0,0,0,1.4,0,0,14.3,NA,0,0
8/02/1980,0,0,0,0,0,24,0,0,0,12.5,0,5.1,0,0,1.6,11,0,28.8,NA,0,0
9/02/1980,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,3.2,0,0,0,NA,0,1.7
10/02/1980,0,0,0,0,0,6,0,0,0,12.2,0.1,9,2.8,0,1.9,13.5,0,5.3,NA,0,0
11/02/1980,0,0,0,0,0,8.5,0.01,0,0,0.9,0.1,5.1,0,0,0.3,4.5,0,1.2,NA,0,3.2
12/02/1980,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0.7,0,0,0,NA,0,7.7
13/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.5
14/02/1980,0,0,0,0,0.7,0,0,0,0,1.6,0,1.5,0,0,2,0,0,0.7,NA,0,3.4
15/02/1980,0,0,0,0,3,0,0,0,0,1.6,0,0,0,0,10.6,0,0,0,NA,0,0
16/02/1980,0,0,0,0,0,25,0,0,0,0.6,0,5.8,0,0,2.1,23.5,0,3.2,NA,0,0
17/02/1980,0,0,0.1,0,55.7,3.3,0,0,0,0.2,0,0,0,0,6.9,6.5,0,22.6,NA,0,2.1
18/02/1980,0,0,0,0,21.7,0,0,0,0,8.3,3,0,0,0,4.8,0,0,0,NA,0,7.8
19/02/1980,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,13.5,0,0.1,0,NA,0,4.3
20/02/1980,0,0,0,0,0,0.3,0,0,0,0.6,0,2,0,0,7.1,0,0,0,NA,0,0
21/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
22/02/1980,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.5,6.6,0,0,NA,0,0
23/02/1980,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,2,0,0,0,NA,0,0
24/02/1980,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,4.3,0,0,72.3,NA,0,0
25/02/1980,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,4.6,12.9,0,1.2,NA,0,0
26/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,NA,0,0
27/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
28/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
29/02/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
1/03/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/03/1980,0.5,0,0,0,7.5,5,0,0,1.6,8.8,2.9,17,0,0,16.4,23.8,0,0,4,0,1.2
3/03/1980,8,0.1,0,0,22.9,7,0,0,0,6.9,1.8,0,5.5,0,6.4,18.5,0,113,0,0,13.3
4/03/1980,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,5.8,3,0,0,0,0,9.2
5/03/1980,0,0,0,0,0,5.5,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
6/03/1980,0,0,0,0,0,0,0,0,0,0.2,0,10,0,0,1.3,22.6,0,20.8,0,0,0
7/03/1980,0,0,0,0,26,0,0,0,0,0,0,2.5,0,0,0.8,0,0,0,61.8,0,0.2
8/03/1980,0,0,0,0,3.9,5.5,0,0,0,0.5,0,0,0,0,0,5.9,0,0,0,0,0
9/03/1980,0,0,0,0,19.1,6,0,0,0,0,0,5,0,0,0,4.4,0,6.7,0,0,0
10/03/1980,0,0,0,0,0,3.5,0,0,0,0.1,0,1.2,0,0,0,0,0,0,15.2,0,0.1
11/03/1980,0.2,0,0,0,1.3,0.3,0,0,0,0.3,0,2,0,0,0.1,3.3,0,0,4.5,0,0
12/03/1980,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,1.8,0,0,2.9,0,0
13/03/1980,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,31.2,0,0
14/03/1980,0,0,0,0,0,0,0,0,0,0.2,0,0.5,0,0,0,0,0,0,11.4,0,6.7
15/03/1980,0,0,0,0,9.3,0,0,0,1.1,3.6,4.3,3,0,0,0.7,7.3,0.6,31.8,1.1,0,11.4
16/03/1980,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1.3,0,0,0,19.5,0,0
17/03/1980,0,0,0,0,0,2,0,0.2,0.1,4.5,0,0.5,0,0,5.7,0,0,0,0,0.01,4.1
18/03/1980,2,2.5,3.8,3.9,3.3,14,10.7,1,50.2,41.4,8.1,18,28.9,2.6,31.8,49,36.8,0,3.6,1.1,1.6
19/03/1980,0,0,0,0,51.9,8,0.01,0,20.2,16.7,5.5,40,0,0.01,39.1,10.9,9.6,0,3.1,0.01,0.4
20/03/1980,2,1.3,0.4,0,0.01,5,0,0,1.1,2.5,1.2,0,0,0,0,0,8.2,0,0,0,0
21/03/1980,0,0,0,0,0,15,0,0,0,0.6,0.1,0,0.01,0,1.3,0,0,1.3,5.7,0,1.2
22/03/1980,0.5,0,0.3,0.1,6.6,5.8,1.2,5.2,0.1,6.6,0,0,0,0.01,1.9,3.5,1.2,41.8,0,1.6,1.8
