date,qc00000132,qc00000135,qc00000207,qc00000208,qc00000211,qc00000219,qc00000230,qc00000231,qc00000235,qc00000237,qc00000238,qc00000240,qc00000241,qc00000247,qc00000248,qc00000250,qc00000255,qc00000278,qc00000281,qc00000301,qc00000304
23/03/1980,0,0,2.6,0,2.6,20,0,0,12.2,0.9,1.2,0,0,2.6,0.6,13.3,1.1,17.2,4.7,0,5.6
24/03/1980,0,0,0,0,7.4,4,0.1,0,0,0,0,0.1,0,0,0,9,0,5.2,24.8,0,0.1
25/03/1980,3.6,3.4,0,0,0,41,0,0,0,0,0,2,0,0.01,0,8.1,0.6,16.8,9.3,0,0
26/03/1980,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
27/03/1980,0,0,0,0,27.9,15,0,0,0,0,0,9,1.2,0,0.4,5,0,0,9.1,0,0
28/03/1980,0,0,0,0,31.3,27,0,0,0,0,0,6,0,0,0,9.6,0,43.3,36,0,1
29/03/1980,0,0,0,0,7.1,1,0,0,0,0,0,2.9,0,0,0,0,0,6,4,0,0
30/03/1980,22.5,25,0,0.6,10.9,15,0,0,0,0,0,2,0,0,0.2,0,1.2,0,3.6,0,4.3
31/03/1980,0,32,6.6,0,14.5,7,0,0,4.9,0.8,0,2.8,0,3,0.1,0,14.1,28.8,0,0,2.8
1/04/1980,41,63,0.3,1.5,12.6,0,0.1,0,0.7,7.7,1.3,5.5,5.1,0,28.1,11,2.7,1.7,15.6,0,6.7
2/04/1980,12,30,0,0,0,0,0,0,2.3,21,8.4,14,4.7,0,15,0,17.1,3.3,0,0,0.6
3/04/1980,22,53,4.6,0,0,0,0.01,0,10.6,65.3,10.3,2,7.1,0,11.2,6,8.8,0,0,0,0
4/04/1980,0,5,30.3,27.5,0,0,0.2,7.6,3.4,31.4,10.4,0,7.9,0,9.4,22,9.5,8.1,0,0,6.9
5/04/1980,0,0,0,0,0,0,0,0,0,10.3,7.4,0,8.9,0,11.2,0,0,11.9,0,0,0.8
6/04/1980,0,0,0,0,2.1,0,0,0,0.2,19.4,0,0,0,0,0.3,0,0,0,0,0,0
7/04/1980,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,32.5,0,0,0
8/04/1980,0,0,0,0,10.5,0,0,0,0,0.2,0,0,0,0,0,0,0,2.2,0,0,0
9/04/1980,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0.8,0,0,0
10/04/1980,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,14.3,0,0,0
11/04/1980,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,15.1,46,0,0
12/04/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/04/1980,0,0,0,0,0,1,0,0,0,1.1,0,0,0,0,0.3,0,0,0,0,0,0
14/04/1980,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0.3,0,0,1.1,2.5,0,8.1
15/04/1980,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.4,7,0,0
16/04/1980,0,0,0,0,46.7,7,0,0,0,0,0,1.3,0,0,0,0,0,0.7,0.3,0,0
17/04/1980,0,0,0,0,0,8,0.01,0,0.1,0,0,12,0,0,2.8,4.7,0,9.9,5.1,0,0.01
18/04/1980,9,2,0,0,0,1,0.01,0,0,1,1,2,0,0,3.5,0,0,0,7.7,0,0
19/04/1980,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/04/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,7,0,4.6,0.5,0,0
21/04/1980,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/04/1980,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/04/1980,0,0.4,0,0,0,0,0.01,0,0.4,0.5,0,0,0,0,1.9,0,0,2.9,1.3,0,1.3
24/04/1980,2,0.5,0,0,0,0,0,0,0.1,15.8,0,0,0,0,1,0,0.8,0,22.3,0,4.8
25/04/1980,0,0,0,0,0,4,0,0,0,0.6,0,4,0,0,0,0,0,46.9,0.2,0,0
26/04/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/04/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
28/04/1980,1,4,0,0,0,2,0,0,0,0.2,0,2,0,0,0.4,4,0,26.5,1.4,0.3,0.1
29/04/1980,0,0,0,0,4.9,3,0,0,0,23.7,0.7,1.5,0,0,39.3,40,0,0,4.3,0,0
30/04/1980,0,0,0,0,1.5,3,0,0,0,5.7,0,0,0,0,0.5,0,0,4.9,1.3,0,0
1/05/1980,0,0,0,0,14.8,32,0,0,0,17.6,0,10,0,0,3.4,3.8,0,14.2,5.8,0,3
2/05/1980,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,25.2,6.6,0,0
3/05/1980,0,0,0,0,0,35,0,0,0,33.4,0,0,0,0,0.1,0,0,29,0,0,0.6
4/05/1980,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
7/05/1980,0,0,0.3,0,0,0,0,0,0,0.2,0,10,0,0.01,0.8,0,0.2,0,0,0,0.01
8/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,23.5,0,0
9/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0
10/05/1980,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,9.2,0,0,0.7
11/05/1980,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
12/05/1980,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.8
13/05/1980,0,0,0,0,2.3,5,0,0,0,0,0,0,0,0,0,0,0,1,6.6,0,0.1
14/05/1980,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
15/05/1980,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0.2,0,0,0,10.6,0.01,0
16/05/1980,0,0,0,0,0,0,0,0,0.5,34.3,2.2,0,0,0,4.8,2,0.1,12,2,0.2,0
17/05/1980,0,0,0,0,0,6,0,0,0,1.3,NA,0,0,0,0,0,0,0,3.6,0,0
18/05/1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2.4,0,0,0
20/05/1980,0,0,0,0,5.7,4,0,0,0,0.6,0.01,8,0,0,0,0,0,13.9,0.5,0,0
21/05/1980,0,0,0,0,0,5.5,0,0,0,0.1,0,3,0,0,0.1,0,0,3.6,0,0,0.4
22/05/1980,0,0,0,0,5.1,16,0,0,0,3.4,1.4,0,0,0,2.5,7,0,15.8,17.6,0,0
23/05/1980,0,0,0,0,1.3,0,0,0,0,0.2,0,0,0,0,0,0,0,13,5,0,0
24/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0.7,0,0
25/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0
26/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
29/05/1980,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.6,2.4,0,0
30/05/1980,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,3.5,30.4,0,2.2,4,0,0.3
31/05/1980,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0.4,0,0,0,6.3,0,0
1/06/1980,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.3,0,0,1,14.6,0,10.7
2/06/1980,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.4,57,0,4.4
3/06/1980,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/06/1980,0,0,0,0,1.8,10,0,0,0,0,0,5,0,0,0,6,0,39.8,2.6,0,0
5/06/1980,0,0,0,0,2.1,6,0,0,0,0,0,1,0,0,0,8,0,0,34.6,0,0
6/06/1980,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,0.5,0,0,0,0,0
7/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
8/06/1980,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6.9,0,0
9/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,9.8,2.7,0,0
10/06/1980,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.8,0,0,0,0,0,0
11/06/1980,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0
12/06/1980,0,0,0,0,24.4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
13/06/1980,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0
14/06/1980,0,0,0,0,8.3,5,0,0,0,0,0,10.3,0,0,0,11.8,0,0,6.5,0,0
15/06/1980,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,40.6,0,0
16/06/1980,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0,0
17/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/06/1980,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/06/1980,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,0,0
21/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/06/1980,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/06/1980,0,0,0,0,0,0.3,0,0,0,0,0,11.1,0.01,0,0,0,0,0,0,0,0
26/06/1980,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,41.7,0,0
27/06/1980,0,0,0,0,0,3,0,0,0,0,0,5.9,0.01,0,0,9.8,0,24.2,24.8,0,0
28/06/1980,0,0,0,0,12.1,5,0,0,0,0,0,1.5,0,0,0,6.5,0,0.5,0,0,0
29/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/07/1980,0,0,0,0,0,2,0,0,0,0,0,0,0.01,0,0,1.7,0,1.6,0,0,0
2/07/1980,0,0,0,0,3.1,0,0,0,0,0,0,7,0,0,0,5.2,0,31.2,38.7,0,0
3/07/1980,0,0,0,0,7.5,0,0,0,0,0,0,8.8,0,0,0,5.8,0,7.5,1.2,0,0.3
4/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/07/1980,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/07/1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/07/1980,0,0,0,0,1.3,0.3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9/07/1980,0,0,0,0,1.7,0,0.01,0,0.2,0.4,0,4,0.01,0.01,0,11,0.8,1.5,11.2,0,0
10/07/1980,0,0,0,0,42.2,0,0,0,0,1.8,0,1.5,0,0,0.1,3.1,0,0,23.4,0,0.7
11/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.9,0,0
12/07/1980,0,0,0,0,1.3,0,0,0,0,0,0,1.3,0,0,0,0,0,0.9,7.1,0,0
13/07/1980,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
14/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,3.1,0,0
15/07/1980,0,0,0,0,2.7,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
16/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0
18/07/1980,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/07/1980,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,12.4,18.7,0,0
21/07/1980,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,0,0,5.4,47,0,0
22/07/1980,0,0,0,0,9.5,5.5,0.01,0,0,0.2,0,0,0,0,0,8.3,0,0,1.7,0,0
23/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0.6,0,0
24/07/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/07/1980,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0
26/07/1980,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0
27/07/1980,0,0,0,0,3.7,5,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0.1
28/07/1980,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0
29/07/1980,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/07/1980,0,0,0,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,0,0
31/07/1980,0,0,0,0,22.8,0,0,0,0,0.1,0,6,0,0,0,0,0,3.2,16,0,2.1
1/08/1980,0.6,0.1,0,0,5.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
2/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0
6/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/08/1980,0,0,0.01,0,1.2,3,0,0,0,1.1,0,0,0.01,0.01,0.5,4.5,0,0,0,0,2.3
8/08/1980,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,66.4,0,0,1.3
9/08/1980,0,0,0,0,29.4,33,0,0,0,0,0,0,2.2,0,0,7.5,0,0.2,0,0,0.4
10/08/1980,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0
11/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
13/08/1980,0,0,0,0,0.5,10,0,0,0,0,0,0,0,0,0,0,0,65.9,49.4,0,0
14/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,25.8,0,0
15/08/1980,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/08/1980,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0.4,0,0,0.8,0,0,1.6
18/08/1980,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0
20/08/1980,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,25,0,0
21/08/1980,0,0,0.01,0,0,0,0,0,0,0.7,0,13,5.4,0,0.2,3.9,0,0,0,0,0.01
22/08/1980,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,6.8,0,26.8,35.9,0,0
23/08/1980,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2.5,0,10.6,20.5,0,0
24/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.4,0,0
27/08/1980,0,0,0,0,3.2,15,0,0,0,0,0,0,0,0,0,0,0,17.7,16,0,0
28/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/09/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,0,0,0
2/09/1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0
3/09/1980,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0
4/09/1980,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0
